Original Index,Title,Location,Organisation Chain,Bid Opening Place,Work Description,Tender Value in ₹,Product Category,Sub category,Pincode,Tender Reference Number,Tender ID,Tender Type,Tender Category,EMD Payable To,EMD Payable At,Awarded Value,Contract Date :,Contract Value :,Unnamed: 18
6113,New Installation and Energisation including power supply work of Ektali LIP under Bisoi block in Mayurbhanj District,digapahandi,"CE,Drainage,Cuttack||SE Drainage Circle Bhubaneswar","O/o the Addl. Chief Engineer, Drainage Circle, Bhu",New Construction of Head works Distribution System and energization including Power supply work of Ektali LIP under Bisoi block in Mayurbhanj District,47639246.0,Civil Works - Water Works,,751012,ACEDC-BBSR/DD-BAM-11/2022-23,2022_CEDC_81792_1,Open Tender,Works,Nil,Nil,"40,498,123.00",29-Nov-2022,"INR 40,498,123",
6095,New Installation and Energisation including power supply work of Mahiskudar-II LIP under Bisoi block in Mayurbhanj District,phulbani,EIC-CIVIL||SERNB-CIRCLE-PHULBANI,O/o the SE Phulbani R and B Circle,New Construction of Head works Distribution System and energization including Power supply work of Mahiskudar-II LIP under Bisoi block in Mayurbhanj District,42672208.0,Civil Works - Bridges,Approach Road,762001,SE R and B PLB_02 of 2020_21,2020_EICCL_61876_1,Open Tender,Works,EE Phulbani R and B Division,Phulbani,"39,040,802.67",12-Mar-2022,"INR 42,672,207.53",
4530,Installation and Energisation of Gayalmara VI TW LIP under Khunta Block in Mayurbhanj district.,sundargarh,OPEPA Bhubaneswar||Samagra Shiksha Sundargarh,DPO SS SNG,Installation and Energisation of Gayalmara VI TW LIP under Khunta Block in Mayurbhanj district.,44219553.0,Civil Works - Buildings,,770001,DPCSNG/07/SS of 2021-22,2021_OPEPA_73500_4,Open Tender,Works,Nil,Nil,"38,621,357.70",13-Jan-2022,"INR 38,621,357.7",
4554,Installation and Energisation of Astapura TW LIP under Khunta Block in Mayurbhanj district.,sundargarh,OPEPA Bhubaneswar||Samagra Shiksha Sundargarh,DPO SS SNG,Installation and Energisation of Astapura TW LIP under Khunta Block in Mayurbhanj district.,44167634.0,Civil Works - Buildings,,770001,DPCSNG/07/SS of 2021-22,2021_OPEPA_73500_17,Open Tender,Works,Nil,Nil,"38,576,012.16",25-Apr-2022,"INR 38,576,012.16",
6128,New Installation and Energisation including power supply work of Asansikhar -II LIP under Bijatola block in Mayurbhanj District,improvement to dhania nalla drainage channel and i,"CE,Drainage,Cuttack||SE,Drainage,Cuttack",Additional Chief Engineer Drainage Circle Cuttack,New Construction of Head works Distribution System and energization including Power supply work of Asansikhar -II LIP under Bijatola block in Mayurbhanj District,42554447.0,Civil Works - Others,,753003,SEDC-CTC/DDCTC-22/2021-22,2021_CEDC_73351_1,National Competitive Bid,Works,Nil,Nil,"36,175,536.00",25-Apr-2022,"INR 36,175,536",
4445,Revival of Jodipai I L.I.Project under Dasmantpur Block of Koraput District,sundargarh,OPEPA Bhubaneswar||Samagra Shiksha Sundargarh,DPO SS SNG,Revival of Jodipai I L.I.Project under Dasmantpur Block of Koraput District,40281039.0,Civil Works - Buildings,,770001,DPC/SS/SNG/08 OF 2021-22,2021_OPEPA_73872_31,Open Tender,Works,Nil,Nil,"36,120,008.07",25-Apr-2022,"INR 36,120,008.07",
5719,Installation and Energisation of Dhakhman IV TW LIP under Suliapada Block in Mayurbhanj district.,niali block,"CE,Drainage,Cuttack||SE,Drainage,Cuttack",ACE Drainage Circle Cuttack,Installation and Energisation of Dhakhman IV TW LIP under Suliapada Block in Mayurbhanj district.,42372342.0,Civil Works - Others,,754004,ACEDC-DDCTC-17/2022-23,2022_CEDC_82030_1,National Competitive Bid,Works,Nil,Nil,"36,020,728.00",05-Apr-2023,"INR 36,020,728",
6975,"Construction of New Police Station Building at Mahuldiha, Mayurbhanj",sorada,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur","O/o Additional CE, RB Basin, Berhampur",Building Work,42341372.0,Civil Works - Others,,761108,"ACE,RBB-28/2022-23",2022_CEBMB_82842_3,National Competitive Bid,Works,Nil,Nil,"35,994,400.47",16-Dec-2022,"INR 35,994,400",
6111,New Installation and Energisation including power supply work of Kulgidihi LIP under Bisoi block in Mayurbhanj District,narasinghpur block,"CE,Drainage,Cuttack||SE,Drainage,Cuttack",ACE Drainage Circle Cuttack,New Construction of Head works Distribution System and energization including Power supply work of Kulgidihi LIP under Bisoi block in Mayurbhanj District,41338309.0,Civil Works - Others,,754032,ACEDC-CTC-DDCTC-16/2022-23,2022_CEDC_82028_1,National Competitive Bid,Works,Nil,Nil,"35,141,697.00",17-Apr-2023,"INR 35,141,697",
1782,Revival of Kuldiha RL and Nuagaon RL LIP under Saraskana Block in Mayurbhanj District,deulajhari,Odisha Tourism Devl. Corp.,"O/o The Supt. Engineer, OTDC,Lewis road, Bhubanesh",Revival of Kuldiha RL and Nuagaon RL LIP under Saraskana Block in Mayurbhanj District,34750000.0,Civil Works - Others,,759125,BP I/26/2021-22 dt.29.03.2022,2022_OTDC_76705_1,National Competitive Bid,Works,Nil,Nil,"34,872,497.00",30-Jul-2022,"INR 34,872,497",
5810,Installation and Energisation of Khuruntia XI TW LIP under Morada Block in Mayurbhanj district.,hinjili,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur","O/o the Additional CE, RB Basin, Berhampur",Installation and Energisation of Khuruntia XI TW LIP under Morada Block in Mayurbhanj district.,40885018.0,Civil Works - Others,,761102,"ACE,RBB-39/2022-23",2023_CEBMB_85974_1,National Competitive Bid,Works,Nil,Nil,"34,756,353.46",05-Apr-2023,"INR 34,756,353",
6117,New Installation and Energisation including power supply work of Janghia LIP under Tiring block in Mayurbhanj District,"sheragada, aska of ganjama","CE,Drainage,Cuttack||SE Drainage Circle Bhubaneswar","O/o the Addl. Chief Engineer, Drainage Circle, Bhu",New Construction of Head works Distribution System and energisation including Power supply work of Janghia LIP under Tiring block in Mayurbhanj District,40459515.0,Civil Works - Others,,751012,ACEDC-BBSR/DD-BAM-03/2022-23,2022_CEDC_78834_1,Open Tender,Works,Nil,Nil,"34,394,634.00",26-Sep-2022,"INR 34,394,634",
6708,"Constn. of 4 Nos. F type Qtrs. at Balanga P.S, Puri","bhanjanagar, ganjam","CE,Drainage,Cuttack||SE Drainage Circle Bhubaneswar","O/o the Addl. Chief Engineer, Drainage Circle, Bhu",Building Work,39199112.0,Civil Works - Others,,751012,SEDC-BBSR/DD-BAM-35/2021-22,2021_CEDC_74800_1,Open Tender,Works,Nil,Nil,"33,323,165.00",16-Mar-2022,"INR 33,323,165",
1672,Revival of Banakati II RL LIP under Bangriposi Block in Mayurbhanj District,pottangi,Rural Water Supply and Sanitation||RWSS Circle Koraput||RWSS Division Koraput,SUPERINTENDING ENGINEER RWSS DIVISION KORAPUT.,Revival of Banakati II RL LIP under Bangriposi Block in Mayurbhanj District,30250655.0,Civil Works - Water Works,,764020,12/SE/RWSS/KPT/21-22/31.12.21,2022_RWSS_75936_3,National Competitive Bid,Works,Nil,Nil,"33,260,594.70",19-Dec-2022,"INR 30,250,654.57",
5643,Installation and Energisation of Chinaposi I TW LIP under Suliapada Block in Mayurbhanj district.,panikoili,EIC-CIVIL||SERNB-CIRCLE-CUTTACK,O/o S.E.Cuttack RandB Circle,Installation and Energisation of Chinaposi I TW LIP under Suliapada Block in Mayurbhanj district.,32963817.0,Civil Works - Roads,,755043,S.E.Ctc. (RandB)5/2020-21,2020_EICCL_62022_1,National Competitive Bid,Works,NIL,NIL,"32,863,817.00",13-Oct-2022,"INR 32,963,817",
6096,New Installation and Energisation including power supply work of Basingi-II LIP under Bahalda block in Mayurbhanj District,sambalpur,CE RW I||RWCIRCLE-SAMBALPUR,SERW CIRCLE SAMBALPUR,New Construction of Head works Distribution System and energization including Power supply work of Basingi-II LIP under Bahalda block in Mayurbhanj District,36912816.0,Civil Works - Bridges,,768001,ONLINE-13-2018-19 (BRIDGES),2019_CERWI_53180_2,Open Tender,Works,NIL,NIL,"32,132,618.52",07-Jul-2022,"INR 36,912,830.01",
