Original Index,Title,Location,Organisation Chain,Bid Opening Place,Work Description,Tender Value in ₹,Product Category,Sub category,Pincode,Tender Reference Number,Tender ID,Tender Type,Tender Category,EMD Payable To,EMD Payable At,Awarded Value,Contract Date :,Contract Value :,Unnamed: 18
962,Installation and Energisation of Talaguluru L.I.Project under Pottangi Block of Koraput District,Bhadrak,Ground Water Survey and Investigation,"Deputy Director Geology, GWD Division Baripada",Installation and Energisation of Talaguluru L.I.Project under Pottangi Block of Koraput District,"28,52,620",Civil Works - Others,,756100,08-15/GWBPD/RRHS/2022-23,2023_GWSI_84905_4,Open Tender,Works,Nil,Nil,"2,710,274.70",08-Feb-2023,"INR 2,710,274.7",
963,Installation and Energisation of K.Putabandha L.I.Project under Pottangi Block of Koraput District,Bhadrak,Ground Water Survey and Investigation,"Deputy Director Geology, GWD Division Baripada",Installation and Energisation of K.Putabandha L.I.Project under Pottangi Block of Koraput District,"33,18,484",Civil Works - Others,,756100,08-15/GWBPD/RRHS/2022-23,2023_GWSI_84905_3,Open Tender,Works,Nil,Nil,"3,152,891.20",08-Feb-2023,"INR 3,152,891.2",
976,Installation and Energisation of Kandamaliguda L.I.Project under Laxmipur Block of Koraput District,Athagarh,EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB DIVN CHARBATIA,"SE CBT R and B Division, Choudwar",Installation and Energisation of Kandamaliguda L.I.Project under Laxmipur Block of Koraput District,"13,92,612",Civil Works - Roads,,754029,SE CBT (R and B)-27/2022-23,2023_EICCL_86317_1,National Competitive Bid,Works,Nil,Nil,"1,183,859",13-Apr-2023,"INR 1,183,859",
977,Installation and Energisation of Odiapentha L.I.Project under Laxmipur Block of Koraput District,"PADAMPUR, CHARDAPALI",EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EERNB-DIVN-BARGARH,"O/O THE EE (R AND B) DIVISION, BARGARH",Installation and Energisation of Odiapentha L.I.Project under Laxmipur Block of Koraput District,"90,88,595",Civil Works - Buildings,,768036,IFB-EE PWD BGH No.26 of 2022-23,2023_EICCL_86022_2,Open Tender,Works,Nil,Nil,"9,088,595",05-Apr-2023,"INR 9,088,595",
978,Installation and Energisation of Malingjodi L.I.Project under Dasmantpur Block of Koraput District,"PADAMPUR, CHARDAPALI",EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EERNB-DIVN-BARGARH,"O/O THE EE (R AND B) DIVISION, BARGARH",Installation and Energisation of Malingjodi L.I.Project under Dasmantpur Block of Koraput District,"81,91,663",Civil Works - Buildings,,768036,IFB-EE PWD BGH No.26 of 2022-23,2023_EICCL_86022_1,Open Tender,Works,Nil,Nil,"8,138,417",05-Apr-2023,"INR 8,191,662.71",
988,Installation and Energisation of Durgabhata VII L.I.Project under Jeypore Block of Koraput District,Rairakhol,EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EERNB-DIVN-SAMBALPUR,O/o SE RANDB DIV-I SBP,Installation and Energisation of Durgabhata VII L.I.Project under Jeypore Block of Koraput District,"76,91,303",Civil Works - Roads,,768106,SE/ R AND B/SBP/ 43/2022-23,2023_EICCL_85659_1,National Competitive Bid,Works,Nil,Nil,"6,538,377",04-Apr-2023,"INR 6,538,377",
1090,Revival of MADHUPUR-III LIP under LANJIGARH Block in Kalahandi District,Kosagumuda,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,"O/o the SE, RW Division-I, Nabarangpur",Construction of Head works installation and Energisation of MADHUPUR-III LIP under LANJIGARH Block in Kalahandi District,"1,26,990",Civil Works - Roads,,764061,EERWNGP-Online-10/2022-23,2023_CERWI_86352_2,Open Tender,Works,Nil,Nil,"107,954",23-Mar-2023,"INR 126,989.74",
1176,Revival of LAKTAKHAMAN-II LIP under LANJIGARH Block in Kalahandi District,Jaleswar,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-JALESWAR,"R.W.Division, Jaleswar",Construction of Head works installation and Energisation of LAKTAKHAMAN-II LIP under LANJIGARH Block in Kalahandi District,"35,217",Civil Works - Roads,,756086,SE/RW/Jls-07/2022-23,2023_CERWI_85692_24,Open Tender,Works,Nil,Nil,29937.57,04-Mar-2023,INR 35216.53,
1365,Revival of Chandvil I RL LIP under Bangriposi Block in Mayurbhanj District,Balasore,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,"O/o the SE, RW Division, Balasore",Revival of Chandvil I RL LIP under Bangriposi Block in Mayurbhanj District,"67,12,434",Civil Works - Roads,,756001,12/SERW/BLS/2022-23,2023_CERWI_85185_1,Open Tender,Works,Nil,Nil,6733363,22-Feb-2023,INR 6733363.0,
1423,Revival of Bhagirathipur RL LIP under Bangriposi Block in Mayurbhanj District,"Delta, BBSR-12","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar","S.E, Prachi Division, BBSR",Revival of Bhagirathipur RL LIP under Bangriposi Block in Mayurbhanj District,"4,92,996",Civil Works - Others,,751012,e-Procurement Notice No.SEPRD-23/2022-23,2023_CELBB_85168_9,Open Tender,Works,Nil,Nil,"419,096",04-Mar-2023,"INR 419,096",
1427,Revival of Golamundhakata RL LIP under Bangriposi Block in Mayurbhanj District,"Delta, BBSR-12","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar","S.E, Prachi Division, BBSR",Revival of Golamundhakata RL LIP under Bangriposi Block in Mayurbhanj District,"4,12,963",Civil Works - Others,,751012,e-Procurement Notice No.SEPRD-23/2022-23,2023_CELBB_85168_10,Open Tender,Works,Nil,Nil,"351,060",04-Mar-2023,"INR 351,060",
1561,Revival of Asanbani RL LIP under Bangriposi Block in Mayurbhanj District,Kuchinda,ST and SC Development Deptt||ITDA Kuchinda,"O/o the Project Administrator, ITDA, Kuchinda",Revival of Asanbani RL LIP under Bangriposi Block in Mayurbhanj District,"69,50,020",Civil Works - Buildings,,768222,ITDAKCD-02/2022-23,2022_STSCD_81480_2,Open Tender,Works,Nil,Nil,"5,908,212",01-Nov-2022,"INR 5,908,212",
1672,Revival of Banakati II RL LIP under Bangriposi Block in Mayurbhanj District,POTTANGI,Rural Water Supply and Sanitation||RWSS Circle Koraput||RWSS Division Koraput,SUPERINTENDING ENGINEER RWSS DIVISION KORAPUT.,Revival of Banakati II RL LIP under Bangriposi Block in Mayurbhanj District,"3,02,50,655",Civil Works - Water Works,,764020,12/SE/RWSS/KPT/21-22/31.12.21,2022_RWSS_75936_3,National Competitive Bid,Works,Nil,Nil,"33,260,594.70",19-Dec-2022,"INR 30,250,654.57",
1739,Revival of Sunapal RL LIP under Udala Block in Mayurbhanj District,Titilagarh Municipality,PHEO||PH Circle Bhawanipatna||PH Division Balangir,"Superintending Engineer, PH Division, Balangir",Revival of Sunapal RL LIP under Udala Block in Mayurbhanj District,"80,73,374",Civil Works - Water Works,,767033,SEPHBGR 06/2022-23,2022_PHEO_77790_1,National Competitive Bid,Works,Nil,Nil,"7,670,513",16-Nov-2022,"INR 8,073,373.97",
1773,Revival of Tilajadia II TW LIP under Suliapada Block in Mayurbhanj District,Danagadi Jajpur,Odisha Tourism Devl. Corp.,"O/o The Supt. Engineer, OTDC Ltd.,Lewis road, Bhub",Revival of Tilajadia II TW LIP under Suliapada Block in Mayurbhanj District,"20,66,000",Civil Works - Others,,755026,BP I/01/2022-23 dt.08.04.2022,2022_OTDC_76908_6,National Competitive Bid,Works,Nil,Nil,"1,967,070",29-Jul-2022,"INR 1,967,070",
1774,Revival of Jambadi TW LIP under Suliapada Block in Mayurbhanj District,Mohanadi in Cuttack District,Odisha Tourism Devl. Corp.,"O/o The Supt. Engineer, OTDC Ltd.,Lewis road, Bhub",Revival of Jambadi TW LIP under Suliapada Block in Mayurbhanj District,"41,32,000",Civil Works - Others,,753004,BP I/01/2022-23 dt.08.04.2022,2022_OTDC_76908_4,National Competitive Bid,Works,Nil,Nil,"3,934,256",29-Jul-2022,"INR 3,934,256",
1776,Revival of Gangasole III TW LIP under Suliapada Block in Mayurbhanj District,lekhanpur Salipur,Odisha Tourism Devl. Corp.,"O/o The Supt. Engineer, OTDC Ltd.,Lewis road, Bhub",Revival of Gangasole III TW LIP under Suliapada Block in Mayurbhanj District,"8,27,000",Civil Works - Others,,754202,BP I/01/2022-23 dt.08.04.2022,2022_OTDC_76908_2,National Competitive Bid,Works,Nil,Nil,"787,439",29-Jul-2022,"INR 787,439",
1777,Revival of Fania TW LIP under Suliapada Block in Mayurbhanj District,Cuttack,Odisha Tourism Devl. Corp.,"O/o The Supt. Engineer, OTDC Ltd.,Lewis road, Bhub",Revival of Fania TW LIP under Suliapada Block in Mayurbhanj District,"1,13,00,000",Civil Works - Others,,753001,BP I/26/2021-22 dt.29.03.2022,2022_OTDC_76727_1,National Competitive Bid,Works,Nil,Nil,"12,646,595",28-Jun-2022,"INR 12,646,595",
1779,Revival of Bhaliasole I TW LIP under Suliapada Block in Mayurbhanj District,"Khandadhar, Keonjhar",Odisha Tourism Devl. Corp.,"O/o The Supt. Engineer, OTDC,Lewis road, Bhubanes",Revival of Bhaliasole I TW LIP under Suliapada Block in Mayurbhanj District,"2,29,97,000",Civil Works - Others,,758001,BP I/26/2021-22 dt.29.03.2022,2022_OTDC_76706_3,National Competitive Bid,Works,Nil,Nil,"21,895,979",30-Jul-2022,"INR 21,895,979",
1780,Revival of Padugirisole I TW LIP under Suliapada Block in Mayurbhanj District,"Remuna, Balasore",Odisha Tourism Devl. Corp.,"O/o The Supt. Engineer, OTDC,Lewis road, Bhubanesh",Revival of Padugirisole I TW LIP under Suliapada Block in Mayurbhanj District,"2,68,68,000",Civil Works - Others,,756019,BP I/26/2021-22 dt.29.03.2022,2022_OTDC_76706_2,National Competitive Bid,Works,Nil,Nil,"25,581,439",30-Jul-2022,"INR 25,581,439",
1781,Revival of Nadigaon II RL LIP under Suliapada Block in Mayurbhanj District,Mayurbhanj,Odisha Tourism Devl. Corp.,"O/o The Supt. Engineer, OTDC,Lewis road, Bhubanesh",Revival of Nadigaon II RL LIP under Suliapada Block in Mayurbhanj District,"3,06,30,000",Civil Works - Others,,757039,BP I/26/2021-22 dt.29.03.2022,2022_OTDC_76706_1,National Competitive Bid,Works,Nil,Nil,"29,163,259",30-Jul-2022,"INR 29,163,259",
1782,Revival of Kuldiha RL and Nuagaon RL LIP under Saraskana Block in Mayurbhanj District,Deulajhari,Odisha Tourism Devl. Corp.,"O/o The Supt. Engineer, OTDC,Lewis road, Bhubanesh",Revival of Kuldiha RL and Nuagaon RL LIP under Saraskana Block in Mayurbhanj District,"3,47,50,000",Civil Works - Others,,759125,BP I/26/2021-22 dt.29.03.2022,2022_OTDC_76705_1,National Competitive Bid,Works,Nil,Nil,"34,872,497",30-Jul-2022,"INR 34,872,497",
1783,Installation and Energisation of Kanpur III TW LIP under Rasgobindpur Block in Mayurbhanj District,Joranda,Odisha Tourism Devl. Corp.,"O/o The Supt. Engineer, OTDC,Lewis road, Bhubanesh",Installation and Energisation of Kanpur III TW LIP under Rasgobindpur Block in Mayurbhanj District,"4,56,30,000",Civil Works - Others,,759014,BP I/26/2021-22 dt.29.03.2022,2022_OTDC_76704_1,National Competitive Bid,Works,Nil,Nil,"43,459,851",30-Jul-2022,"INR 43,459,851",
1838,Revival of Biswanathpur I TW LIP under Rasgobindpur Block in Mayurbhanj District,Khurda,Orissa State Police Housing and Welfare Corporation Ltd,OPHWC BHUBANESWAR,Revival of Biswanathpur I TW LIP under Rasgobindpur Block in Mayurbhanj District,"3,15,94,364",Civil Works - Buildings,,751022,31/OPHWC/2022-23,2022_OSPHW_81096_1,National Competitive Bid,Works,Nil,Nil,"28,438,086",03-Feb-2023,"INR 28,438,086",
1843,Revival of Kadamsole TW LIP under Rasgobindpur Block in Mayurbhanj District,Khurda,Orissa State Police Housing and Welfare Corporation Ltd,OPHWC BHUBANESWAR,Revival of Kadamsole TW LIP under Rasgobindpur Block in Mayurbhanj District,"2,41,48,981",Civil Works - Buildings,,751022,26/OPHWC/2022-23,2022_OSPHW_80235_2,National Competitive Bid,Works,Nil,Nil,"21,548,136",03-Feb-2023,"INR 21,548,136",
1855,Revival of Bartana II TW LIP under Rasgobindpur Block in Mayurbhanj District,Katapali Market Yard,Odisha State Agricultural Marketing Board||RMC Bargarh,"Office of RMC, Bargarh",Revival of Bartana II TW LIP under Rasgobindpur Block in Mayurbhanj District,"1,12,51,929",Civil Works - Buildings,,768038,RMC-BARGARH 06 OF 2022-23,2022_OSAMB_84747_4,Open Tender,Works,Nil,Nil,"10,127,861",22-Mar-2023,"INR 11,251,929",
1857,Revival of Bartana I TW LIP under Rasgobindpur Block in Mayurbhanj District,Sohela Market Yard,Odisha State Agricultural Marketing Board||RMC Padampur,"Office of RMC, Padampur",Revival of Bartana I TW LIP under Rasgobindpur Block in Mayurbhanj District,"92,53,520",Civil Works - Buildings,,768033,RMCPADAMPUR 04 OF 2022-23,2022_OSAMB_84728_7,Open Tender,Works,Nil,Nil,"9,248,893",31-Mar-2023,"INR 9,253,520",
1858,Revival of Mahulia B TW LIP under Rasgobindpur Block in Mayurbhanj District,Ghess Market Yard,Odisha State Agricultural Marketing Board||RMC Padampur,Office of RMC Padampur,Revival of Mahulia B TW LIP under Rasgobindpur Block in Mayurbhanj District,"2,33,36,926",Civil Works - Buildings,,768034,RMCPADAMPUR 04 OF 2022-23,2022_OSAMB_84728_4,Open Tender,Works,Nil,Nil,"4,862,146",31-Mar-2023,"INR 4,862,146",
1859,Revival of Patharchatia II RL LIP under Rasgobindpur Block in Mayurbhanj District,Padampur Main Markt Yad,Odisha State Agricultural Marketing Board||RMC Padampur,"Office of RMC, Padampur",Revival of Patharchatia II RL LIP under Rasgobindpur Block in Mayurbhanj District,"3,27,12,117",Civil Works - Buildings,,768036,RMCPADAMPUR 04 OF 2022-23,2022_OSAMB_84728_1,Open Tender,Works,Nil,Nil,"29,444,176",11-Apr-2023,"INR 32,712,117",
1860,Revival of Bachhuripal II RL LIP under Rasgobindpur Block in Mayurbhanj District,Keutipali Market Yard,Odisha State Agricultural Marketing Board||RMC Padampur,Office of RMC Padampur,Revival of Bachhuripal II RL LIP under Rasgobindpur Block in Mayurbhanj District,"1,46,77,594",Civil Works - Buildings,,768032,RMCPADAMPUR 03 OF 2022-23,2022_OSAMB_82293_8,Open Tender,Works,Nil,Nil,"14,367,897",31-Mar-2023,"INR 14,677,593.79",
1861,Revival of Morada I RL LIP under Morada Block in Mayurbhanj District,Jaring Market Yard,Odisha State Agricultural Marketing Board||RMC Padampur,Office of RMC Padampur,Revival of Morada I RL LIP under Morada Block in Mayurbhanj District,"2,27,52,317",Civil Works - Buildings,,768032,RMCPADAMPUR 03 OF 2022-23,2022_OSAMB_82293_6,Open Tender,Works,Nil,Nil,"21,616,976.29",17-Jan-2023,"INR 21,616,976.29",
1862,Revival of Jualibhanga TW LIP under Morada Block in Mayurbhanj District,Gaisilet Market Yard,Odisha State Agricultural Marketing Board||RMC Padampur,Office of RMC Padampur,Revival of Jualibhanga TW LIP under Morada Block in Mayurbhanj District,"57,19,498",Civil Works - Buildings,,768037,RMCPADAMPUR 03 OF 2022-23,2022_OSAMB_82293_4,Open Tender,Works,Nil,Nil,"4,862,146",31-Mar-2023,"INR 5,719,498.36",
1868,Revival of Kanchanpal RL LIP under Baripada Block in Mayurbhanj District,Paikmal Market Yard,Odisha State Agricultural Marketing Board||RMC Padampur,"Office of RMC, Padampur",Revival of Kanchanpal RL LIP under Baripada Block in Mayurbhanj District,"27,29,919",Civil Works - Buildings,,768039,RMCPADMAPUR 02 of 2022-23,2022_OSAMB_82283_1,Open Tender,Works,Nil,Nil,"2,320,704",26-Dec-2022,"INR 2,320,704",
1869,Revival of Silda III TW LIP under Morada Block in Mayurbhanj District,Jaleswar,Odisha State Agricultural Marketing Board||RMC Jaleswar,"Office of the R.M.C., Jaleswar",Revival of Silda III TW LIP under Morada Block in Mayurbhanj District,"2,73,10,629",Civil Works - Buildings,,756032,TCN No.310/RMC-JLS of 2022-23,2022_OSAMB_81845_1,Open Tender,Works,Nil,Nil,"24,582,296",28-Oct-2022,"INR 27,310,628",
1874,Revival of Silda II TW LIP under Morada Block in Mayurbhanj District,"Kelendapali Market Yard under RMC, Bargarh",Odisha State Agricultural Marketing Board||RMC Bargarh,"Office of RMC, Bargarh",Revival of Silda II TW LIP under Morada Block in Mayurbhanj District,"1,12,49,016",Civil Works - Buildings,,768030,RMCBARGARH 04 OF 2022-23,2022_OSAMB_81151_6,Open Tender,Works,Nil,Nil,"11,191,646",18-Dec-2022,"INR 11,191,646",
1875,Revival of Chitrada RL LIP under Morada Block in Mayurbhanj District,"Adgaaon Market Yard under RMC, Bargarh",Odisha State Agricultural Marketing Board||RMC Bargarh,"Office of the RMC, Bargarh",Revival of Chitrada RL LIP under Morada Block in Mayurbhanj District,"1,02,49,464",Civil Works - Buildings,,768040,RMCBARGARH 04 OF 2022-23,2022_OSAMB_81151_5,Open Tender,Works,Nil,Nil,"10,231,015",04-Nov-2022,"INR 10,231,015",
1877,Revival of Dukura II TW LIP under Khunta Block in Mayurbhanj District,"Sarandapali Market Yard under RMC, Bargarh",Odisha State Agricultural Marketing Board||RMC Bargarh,"Office of RMC, Bargarh",Revival of Dukura II TW LIP under Khunta Block in Mayurbhanj District,"53,17,263",Civil Works - Buildings,,768032,RMCBARGARH 04 OF 2022-23,2022_OSAMB_81151_15,Open Tender,Works,Nil,Nil,"4,786,069",14-Jan-2023,"INR 5,317,263.65",
1879,Revival of Burundagadi II RL LIP under Khunta Block in Mayurbhanj District,"Patkulunda Market Yard under RMC, Bargarh",Odisha State Agricultural Marketing Board||RMC Bargarh,"Office of RMC, Bargarh",Revival of Burundagadi II RL LIP under Khunta Block in Mayurbhanj District,"97,26,788",Civil Works - Buildings,,768029,RMCBARGARH 04 OF 2022-23,2022_OSAMB_81151_13,Open Tender,Works,Nil,Nil,"9,168,471",20-Dec-2022,"INR 9,168,471",
1880,Revival of Athapada I TW LIP under Khunta Block in Mayurbhanj District,"Agalpur Market Yard under RMC, Bargarh",Odisha State Agricultural Marketing Board||RMC Bargarh,"Office of RMC, Bargarh",Revival of Athapada I TW LIP under Khunta Block in Mayurbhanj District,"70,87,924",Civil Works - Buildings,,768029,RMCBARGARH 04 OF 2022-23,2022_OSAMB_81151_11,Open Tender,Works,Nil,Nil,"6,379,840",14-Jan-2023,"INR 7,087,924",
1881,Revival of Astia II RL LIP under G B Nagar Block in Mayurbhanj District,"Urduna Market Yard under RMC, Bargarh",Odisha State Agricultural Marketing Board||RMC Bargarh,"Office of RMC, Bargarh",Revival of Astia II RL LIP under G B Nagar Block in Mayurbhanj District,"67,27,848",Civil Works - Buildings,,768038,RMCBARGARH 04 OF 2022-23,2022_OSAMB_81151_10,Open Tender,Works,Nil,Nil,"6,055,736",18-Dec-2022,"INR 6,055,736",
1921,Revival of Astia I RL LIP under G B Nagar Block in Mayurbhanj District,Ward No-3,Municipal Bodies||Kuchinda NAC,OFFICE OF THE NAC KUCHINDA,Revival of Astia I RL LIP under G B Nagar Block in Mayurbhanj District,"16,94,919",Miscellaneous Works,,768222,KCDA/NAC-5/2022-23,2022_ORULB_82029_3,Open Tender,Works,Nil,Nil,"1,440,850.37",16-Nov-2022,"INR 1,440,850.37",
1928,Revival of Kendudiha I TW LIP under Badasahi Block in Mayurbhanj District,BIJEPUR NAC,Municipal Bodies||Bijepur NAC,O/O BIJEPUR NAC,Revival of Kendudiha I TW LIP under Badasahi Block in Mayurbhanj District,"19,04,049",Miscellaneous Works,,768032,NACB/2022-23/02,2022_ORULB_81056_1,Open Tender,Works,Nil,Nil,"1,961,170",03-Feb-2023,"INR 1,675,753",
2013,Revival of Arjunbadia TW LIP under Badasahi Block in Mayurbhanj District,NAC ODAGAON,Municipal Bodies,NAC ODAGAON,Revival of Arjunbadia TW LIP under Badasahi Block in Mayurbhanj District,"2,96,506",Civil Works - Others,,752081,NAC-ODG-07-2022-23,2022_ORULB_77863_10,Open Tender,Works,Nil,Nil,"296,506.20",10-Jun-2022,"INR 296,506.2",
2014,Revival of Kainsari TW LIP under Badasahi Block in Mayurbhanj District,NAC ODAGAON,Municipal Bodies,NAC ODAGAON,Revival of Kainsari TW LIP under Badasahi Block in Mayurbhanj District,"2,44,908",Civil Works - Others,,752081,NAC-ODG-07-2022-23,2022_ORULB_77863_1,Open Tender,Works,Nil,Nil,"244,908.31",10-Jun-2022,"INR 244,908.31",
2218,Revival of Taradapal I RL LIP under Bangriposi Block in Mayurbhanj District,Nabarangpur,Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Nawarangpur,"Office of the Executive Engineer, Lift Irrigation",Revival of Taradapal I RL LIP under Bangriposi Block in Mayurbhanj District,"14,92,000",Civil Works - Lift Irrigation Schemes,Electrification,764059,01/2022-23,2022_OLIC_80227_50,Open Tender,Works,Nil,Nil,"1,668,614",24-Oct-2022,"INR 1,668,614",
2220,Revival of Kachimbila RL LIP under Baripada Block in Mayurbhanj District,Nabarangpur,Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Nawarangpur,"Office of the Executive Engineer, Lift Irrigation",Revival of Kachimbila RL LIP under Baripada Block in Mayurbhanj District,"14,92,000",Civil Works - Lift Irrigation Schemes,Electrification,764059,01/2022-23,2022_OLIC_80227_49,Open Tender,Works,Nil,Nil,"1,669,776",24-Oct-2022,"INR 1,669,776",
2407,Revival of PARIA-II LIP under BHAWANIPATNA Block in Kalahandi District,Bangiriposi,Orissa Bridge and Construction Corporation Ltd,"O/O THE EIC Cum MD, OB AND CC LTD, NAYAPALLI, BBSR",Construction of Head works installation and Energisation of PARIA-II LIP under Bhawanipatna Block in Kalahandi District,"3,49,999",Toll Gate,,757032,NO. 53/TOLL/OBCC/2022-23,2022_OBCC_83978_2,Open Tender,Works,Nil,Nil,"399,999",28-Feb-2023,"INR 399,999",
2409,Revival of PARIA-I LIP under BHAWANIPATNA Block in Kalahandi District,Kendrapada,Orissa Bridge and Construction Corporation Ltd,"O/O THE EIC Cum MD, OB AND CC LTD, NAYAPALLI, BBSR",Construction of Head works installation and Energisation of PARIA-I LIP under Bhawanipatna Block in Kalahandi District,"17,51,635",Toll Gate,,754220,NO. 45/TOLL/OBCC/2022-23,2022_OBCC_83411_2,Open Tender,Works,Nil,Nil,"2,500,550",12-Dec-2022,"INR 2,500,550",
