Title,Location,Organisation Chain,Bid Opening Place,Work Description,Tender Value in ₹,Product Category,Sub category,Pincode,Tender Reference Number,Tender ID,Tender Type,Tender Category,EMD Payable To,EMD Payable At,Awarded Value,Contract Date :,Contract Value :,
Installation and Energisation of Talaguluru L.I.Project under Pottangi Block of Koraput District,Koraput,Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Koraput,L I Division Koraput,Installation and Energisation of Talaguluru L.I.Project under Pottangi Block of Koraput District,"18,21,500",Civil Works - Lift Irrigation Schemes,NA,764020,04/2022-23,2023_OLIC_85644_6,Open Tender,Works,Nil,Nil,"1,821,500",25-Mar-2023,"INR 1,821,500",
Installation and Energisation of K.Putabandha L.I.Project under Pottangi Block of Koraput District,Koraput,Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Koraput,L I Division Koraput,Installation and Energisation of K.Putabandha L.I.Project under Pottangi Block of Koraput District,"17,56,600",Civil Works - Lift Irrigation Schemes,NA,764020,04/2022-23,2023_OLIC_85644_5,Open Tender,Works,Nil,Nil,"1,756,600",25-Mar-2023,"INR 1,756,600",
Installation and Energisation of Kandamaliguda L.I.Project under Laxmipur Block of Koraput District,Koraput,Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Koraput,L I Division Koraput,Installation and Energisation of Kandamaliguda L.I.Project under Laxmipur Block of Koraput District,"19,07,100",Civil Works - Lift Irrigation Schemes,NA,764020,04/2022-23,2023_OLIC_85644_4,Open Tender,Works,Nil,Nil,"1,907,100",25-Mar-2023,"INR 1,907,100",
Installation and Energisation of Odiapentha L.I.Project under Laxmipur Block of Koraput District,Koraput,Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Koraput,L I Division Koraput,Installation and Energisation of Odiapentha L.I.Project under Laxmipur Block of Koraput District,"19,08,100",Civil Works - Lift Irrigation Schemes,NA,764020,04/2022-23,2023_OLIC_85644_3,Open Tender,Works,Nil,Nil,"1,908,100",25-Mar-2023,"INR 1,908,100",
Installation and Energisation of Malingjodi L.I.Project under Dasmantpur Block of Koraput District,Koraput,Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Koraput,L I Division Koraput,Installation and Energisation of Malingjodi L.I.Project under Dasmantpur Block of Koraput District,"19,03,600",Civil Works - Lift Irrigation Schemes,NA,764020,04/2022-23,2023_OLIC_85644_2,Open Tender,Works,Nil,Nil,"1,903,600",25-Mar-2023,"INR 1,903,600",
Installation and Energisation of Durgabhata VII L.I.Project under Jeypore Block of Koraput District,Koraput,Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Koraput,L I Division Koraput,Installation and Energisation of Durgabhata VII L.I.Project under Jeypore Block of Koraput District,"18,53,600",Civil Works - Lift Irrigation Schemes,NA,764020,04/2022-23,2023_OLIC_85644_1,Open Tender,Works,Nil,Nil,"1,853,600",25-Mar-2023,"INR 1,853,600",
Revival of MADHUPUR-III LIP under LANJIGARH Block in Kalahandi District,At - Infront of GOVT. ITI Bhawanipatna,Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Bhawanipatna,"Executive Engineer L.I.Division, Bhawanipatna",Construction of Head works installation and Energisation of MADHUPUR-III LIP under LANJIGARH Block in Kalahandi District,"5,74,594",Civil Works - Lift Irrigation Schemes,NA,766001,OLIC-BPT-02/2022-23 Dt.07.01.2023,2023_OLIC_85314_3,National Competitive Bid,Works,Nil,Nil,"488,462",14-Mar-2023,"INR 488,462",
Revival of LAKTAKHAMAN-II LIP under LANJIGARH Block in Kalahandi District,At - Infront of GOVT. ITI Bhawanipatna,Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Bhawanipatna,"Executive Engineer L.I.Division, Bhawanipatna",Construction of Head works installation and Energisation of LAKTAKHAMAN-II LIP under LANJIGARH Block in Kalahandi District,"6,15,324",Civil Works - Lift Irrigation Schemes,NA,766001,OLIC-BPT-02/2022-23 Dt.07.01.2023,2023_OLIC_85314_2,National Competitive Bid,Works,Nil,Nil,"523,087",14-Mar-2023,"INR 523,087",
Revival of Chandvil I RL LIP under Bangriposi Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Chandvil I RL LIP under Bangriposi Block in Mayurbhanj District,"15,67,254",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_9,Open Tender,Works,Nil,Nil,"1,489,048",09-Mar-2023,"INR 1,567,254",
Revival of Bhagirathipur RL LIP under Bangriposi Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Bhagirathipur RL LIP under Bangriposi Block in Mayurbhanj District,"16,43,452",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_8,Open Tender,Works,Nil,Nil,"1,612,555",09-Mar-2023,"INR 1,643,452",
Revival of Golamundhakata RL LIP under Bangriposi Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Golamundhakata RL LIP under Bangriposi Block in Mayurbhanj District,"14,02,131",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_7,Open Tender,Works,Nil,Nil,"1,401,851",09-Mar-2023,"INR 1,402,131",
Revival of Asanbani RL LIP under Bangriposi Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Asanbani RL LIP under Bangriposi Block in Mayurbhanj District,"14,07,423",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_6,Open Tender,Works,Nil,Nil,"1,386,171",09-Mar-2023,"INR 1,407,423",
Revival of Banakati II RL LIP under Bangriposi Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Banakati II RL LIP under Bangriposi Block in Mayurbhanj District,"14,12,647",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_5,Open Tender,Works,Nil,Nil,"1,342,156",09-Mar-2023,"INR 1,412,647",
Revival of Sunapal RL LIP under Udala Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Sunapal RL LIP under Udala Block in Mayurbhanj District,"14,11,550",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_48,Open Tender,Works,Nil,Nil,"1,395,882",09-Mar-2023,"INR 1,411,550",
Revival of Tilajadia II TW LIP under Suliapada Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Tilajadia II TW LIP under Suliapada Block in Mayurbhanj District,"15,33,311",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_47,Open Tender,Works,Nil,Nil,"1,533,311",09-Mar-2023,"INR 1,533,311",
Revival of Jambadi TW LIP under Suliapada Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Jambadi TW LIP under Suliapada Block in Mayurbhanj District,"15,27,601",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_46,Open Tender,Works,Nil,Nil,"1,525,296",09-Mar-2023,"INR 1,527,601",
Revival of Gangasole III TW LIP under Suliapada Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Gangasole III TW LIP under Suliapada Block in Mayurbhanj District,"15,34,102",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_45,Open Tender,Works,Nil,Nil,"1,531,927",09-Mar-2023,"INR 1,534,102",
Revival of Fania TW LIP under Suliapada Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Fania TW LIP under Suliapada Block in Mayurbhanj District,"15,68,846",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_44,Open Tender,Works,Nil,Nil,"1,568,268",09-Mar-2023,"INR 1,568,846",
Revival of Bhaliasole I TW LIP under Suliapada Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Bhaliasole I TW LIP under Suliapada Block in Mayurbhanj District,"16,38,554",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_43,Open Tender,Works,Nil,Nil,"1,638,554",09-Mar-2023,"INR 1,638,554",
Revival of Padugirisole I TW LIP under Suliapada Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Padugirisole I TW LIP under Suliapada Block in Mayurbhanj District,"16,37,994",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_42,Open Tender,Works,Nil,Nil,"1,636,408",09-Mar-2023,"INR 1,637,994",
Revival of Nadigaon II RL LIP under Suliapada Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Nadigaon II RL LIP under Suliapada Block in Mayurbhanj District,"14,88,749",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_41,Open Tender,Works,Nil,Nil,"1,340,023",09-Mar-2023,"INR 1,488,749",
Revival of Kuldiha RL and Nuagaon RL LIP under Saraskana Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Kuldiha RL and Nuagaon RL LIP under Saraskana Block in Mayurbhanj District,"29,89,998",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_40,Open Tender,Works,Nil,Nil,"2,989,185",09-Mar-2023,"INR 2,989,998",
Installation and Energisation of Kanpur III TW LIP under Rasgobindpur Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Installation and Energisation of Kanpur III TW LIP under Rasgobindpur Block in Mayurbhanj District,"16,83,147",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_39,Open Tender,Works,Nil,Nil,"1,634,504",06-Mar-2023,"INR 1,683,147",
Revival of Biswanathpur I TW LIP under Rasgobindpur Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Biswanathpur I TW LIP under Rasgobindpur Block in Mayurbhanj District,"10,64,914",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_38,Open Tender,Works,Nil,Nil,"1,064,914",06-Mar-2023,"INR 1,064,914",
Revival of Kadamsole TW LIP under Rasgobindpur Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Kadamsole TW LIP under Rasgobindpur Block in Mayurbhanj District,"13,04,061",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_37,Open Tender,Works,Nil,Nil,"1,173,785",09-Mar-2023,"INR 1,604,061",
Revival of Bartana II TW LIP under Rasgobindpur Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Bartana II TW LIP under Rasgobindpur Block in Mayurbhanj District,"10,00,196",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_36,Open Tender,Works,Nil,Nil,"900,276",09-Mar-2023,"INR 1,000,196",
Revival of Bartana I TW LIP under Rasgobindpur Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Bartana I TW LIP under Rasgobindpur Block in Mayurbhanj District,"10,77,237",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_35,Open Tender,Works,Nil,Nil,"969,621",06-Mar-2023,"INR 1,077,237",
Revival of Mahulia B TW LIP under Rasgobindpur Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Mahulia B TW LIP under Rasgobindpur Block in Mayurbhanj District,"15,12,848",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_34,Open Tender,Works,Nil,Nil,"1,361,714",09-Mar-2023,"INR 1,512,848",
Revival of Patharchatia II RL LIP under Rasgobindpur Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Patharchatia II RL LIP under Rasgobindpur Block in Mayurbhanj District,"14,05,851",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_33,Open Tender,Works,Nil,Nil,"1,265,406",09-Mar-2023,"INR 1,405,851",
Revival of Bachhuripal II RL LIP under Rasgobindpur Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Bachhuripal II RL LIP under Rasgobindpur Block in Mayurbhanj District,"10,69,470",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_32,Open Tender,Works,Nil,Nil,"962,630",09-Mar-2023,"INR 1,069,470",
Revival of Morada I RL LIP under Morada Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Morada I RL LIP under Morada Block in Mayurbhanj District,"14,06,879",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_31,Open Tender,Works,Nil,Nil,"1,266,332",09-Mar-2023,"INR 1,406,879",
Revival of Jualibhanga TW LIP under Morada Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Jualibhanga TW LIP under Morada Block in Mayurbhanj District,"15,11,272",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_30,Open Tender,Works,Nil,Nil,"1,360,296",09-Mar-2023,"INR 1,511,272",
Revival of Kanchanpal RL LIP under Baripada Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Kanchanpal RL LIP under Baripada Block in Mayurbhanj District,"14,82,558",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_3,Open Tender,Works,Nil,Nil,"1,482,261",09-Mar-2023,"INR 1,482,558",
Revival of Silda III TW LIP under Morada Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Silda III TW LIP under Morada Block in Mayurbhanj District,"15,28,173",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_29,Open Tender,Works,Nil,Nil,"1,375,509",09-Mar-2023,"INR 1,528,173",
Revival of Silda II TW LIP under Morada Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Silda II TW LIP under Morada Block in Mayurbhanj District,"15,36,245",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_28,Open Tender,Works,Nil,Nil,"1,382,774",09-Mar-2023,"INR 1,536,245",
Revival of Chitrada RL LIP under Morada Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Chitrada RL LIP under Morada Block in Mayurbhanj District,"14,64,566",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_27,Open Tender,Works,Nil,Nil,"1,318,256",09-Mar-2023,"INR 1,464,566",
Revival of Dukura II TW LIP under Khunta Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Dukura II TW LIP under Khunta Block in Mayurbhanj District,"15,00,299",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_26,Open Tender,Works,Nil,Nil,"1,425,434",09-Mar-2023,"INR 1,500,299",
Revival of Burundagadi II RL LIP under Khunta Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Burundagadi II RL LIP under Khunta Block in Mayurbhanj District,"15,33,264",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_25,Open Tender,Works,Nil,Nil,"1,510,265",09-Mar-2023,"INR 1,533,264",
Revival of Athapada I TW LIP under Khunta Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Athapada I TW LIP under Khunta Block in Mayurbhanj District,"15,23,411",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_24,Open Tender,Works,Nil,Nil,"1,447,393",09-Mar-2023,"INR 1,523,411",
Revival of Astia II RL LIP under G B Nagar Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Astia II RL LIP under G B Nagar Block in Mayurbhanj District,"14,06,784",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_21,Open Tender,Works,Nil,Nil,"1,389,199",09-Mar-2023,"INR 1,406,784",
Revival of Astia I RL LIP under G B Nagar Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Astia I RL LIP under G B Nagar Block in Mayurbhanj District,"14,06,784",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_20,Open Tender,Works,Nil,Nil,"1,406,784",09-Mar-2023,"INR 1,406,784",
Revival of Kendudiha I TW LIP under Badasahi Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Kendudiha I TW LIP under Badasahi Block in Mayurbhanj District,"15,20,589",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_16,Open Tender,Works,Nil,Nil,"1,512,986",09-Mar-2023,"INR 1,520,589",
Revival of Arjunbadia TW LIP under Badasahi Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Arjunbadia TW LIP under Badasahi Block in Mayurbhanj District,"15,05,456",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_14,Open Tender,Works,Nil,Nil,"1,400,225",09-Mar-2023,"INR 1,505,456",
Revival of Kainsari TW LIP under Badasahi Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Kainsari TW LIP under Badasahi Block in Mayurbhanj District,"15,22,796",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_13,Open Tender,Works,Nil,Nil,"1,446,808",09-Mar-2023,"INR 1,522,796",
Revival of Taradapal I RL LIP under Bangriposi Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Taradapal I RL LIP under Bangriposi Block in Mayurbhanj District,"14,93,841",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_11,Open Tender,Works,Nil,Nil,"1,478,156",09-Mar-2023,"INR 1,493,841",
Revival of Kachimbila RL LIP under Baripada Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Kachimbila RL LIP under Baripada Block in Mayurbhanj District,"14,85,606",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 5069 (OLIC/2022-23) DATED 26.12.2022,2023_OLIC_84931_1,Open Tender,Works,Nil,Nil,"1,485,457",09-Mar-2023,"INR 1,485,606",
